medicine_name,dosage_form,category,used_for,indications (comma separated),side_effects (comma separated)
 Ferosoft, Injection, Iron supplement, Iron deficiency treatment," iron deficiency anemia, pregnancy, blood loss, malabsorption"," pain at injection site, nausea, constipation, allergic reactions"
 Ferosoft, Syrup, Iron supplement, Iron deficiency treatment," iron deficiency anemia, pregnancy, poor nutrition, malabsorption"," constipation, dark stools, stomach upset, nausea"
 Ferosoft, Tablet, Iron supplement, Iron deficiency treatment," iron deficiency anemia, pregnancy, poor nutrition, malabsorption"," constipation, dark stools, stomach upset, nausea"
 Flagyl, Injection, Antibiotic, Anaerobic infection treatment," intra-abdominal infections, pelvic inflammatory disease, bacterial vaginosis, amoebic dysentery"," nausea, metallic taste, peripheral neuropathy, headache, dizziness"
 Flagyl, Syrup, Antibiotic, Anaerobic infection treatment," amoebic dysentery, giardiasis, trichomoniasis, bacterial vaginosis"," nausea, metallic taste, diarrhea, loss of appetite, headache"
 Flagyl, Tablet, Antibiotic, Anaerobic infection treatment," bacterial vaginosis, trichomoniasis, amoebic dysentery, giardiasis, H. pylori"," nausea, metallic taste, diarrhea, loss of appetite, headache"
 Glucophage, Tablet, Antidiabetic, Type 2 diabetes management," high blood sugar, insulin resistance, metabolic syndrome, polycystic ovary syndrome"," diarrhea, nausea, abdominal discomfort, metallic taste, vitamin B12 deficiency"
 Lopressor, Tablet, Beta-blocker, Cardiovascular conditions," hypertension, angina, heart failure, post-heart attack, arrhythmias"," fatigue, dizziness, bradycardia, cold extremities, sleep disturbances"
 Opdivo, Injection, Immunotherapy, Cancer treatment," melanoma, lung cancer, renal cell carcinoma, Hodgkin lymphoma, head and neck cancer"," fatigue, rash, itching, diarrhea, immune-related adverse events"
 Panadol, Syrup, Analgesic/Antipyretic, Pain and fever relief," headaches, toothaches, muscle aches, backache, cold/flu symptoms, fever"," rare: allergic reactions, liver damage (with overdose)"
 Panadol, Tablet, Analgesic/Antipyretic, Pain and fever relief," headaches, toothaches, muscle aches, backache, cold/flu symptoms, fever"," rare: allergic reactions, liver damage (with overdose)"
 Pulmonol, Syrup, Bronchodilator, Respiratory relief," bronchitis, asthma, COPD, respiratory infections"," tremor, nervousness, headache, rapid heartbeat"
 Shevit, Tablet, Multivitamin, Vitamin supplementation," vitamin deficiency, general health maintenance, increased nutritional needs"," upset stomach, constipation, unusual taste"
 Vaporub, Gel, Topical decongestant, Cold and cough relief," nasal congestion, chest congestion, minor muscle aches"," skin irritation, rash (if applied to broken skin)"
 Ventolin, Inhaler, Bronchodilator, Asthma management," asthma, bronchospasm, exercise-induced bronchospasm, COPD"," tremor, headache, rapid heartbeat, nervousness"
 Votral Emulgel, Gel, NSAID, Topical pain and inflammation relief," muscle pain, joint pain, arthritis, sprains, sports injuries"," skin irritation, rash, photosensitivity, allergic reactions"
 Zantac, Tablet, H2 blocker, Acid reflux treatment," heartburn, acid reflux, GERD, peptic ulcers, gastritis"," headache, constipation, diarrhea, nausea, rare: liver function changes"
 Lipitor, Tablet, Statin, Cholesterol management," high cholesterol, atherosclerosis prevention, cardiovascular disease risk reduction"," muscle pain, liver enzyme elevation, headache, digestive issues, joint pain"
 Prozac, Capsule, SSRI, Depression treatment," major depressive disorder, obsessive-compulsive disorder, panic disorder, bulimia nervosa"," nausea, insomnia, headache, anxiety, drowsiness, reduced libido"
 Xanax, Tablet, Benzodiazepine, Anxiety treatment," anxiety disorders, panic disorder, social anxiety disorder"," drowsiness, dizziness, memory problems, coordination issues, potential for dependency"
 Advil, Tablet, NSAID, Pain and inflammation relief," headaches, muscle aches, arthritis pain, menstrual cramps, minor injuries, fever"," stomach pain, heartburn, nausea, dizziness, allergic reactions"
 Advil, Gel, NSAID, Topical pain relief," muscle pain, joint pain, arthritis, minor injuries"," skin irritation, rash, allergic reactions"
 Benadryl, Tablet, Antihistamine, Allergy relief," allergic reactions, hay fever, hives, insect bites, cold symptoms"," extreme drowsiness, dry mouth, blurred vision, constipation, urinary retention"
 Benadryl, Syrup, Antihistamine, Allergy relief," allergic reactions, hay fever, hives, insect bites, cold symptoms"," extreme drowsiness, dry mouth, blurred vision, constipation, urinary retention"
 Claritin, Tablet, Antihistamine, Allergy relief," seasonal allergies, hay fever, hives, runny nose, watery eyes"," headache, drowsiness (rare), dry mouth, fatigue"
 Cialis, Tablet, PDE5 inhibitor, Erectile dysfunction treatment," erectile dysfunction, benign prostatic hyperplasia"," headache, indigestion, back pain, muscle aches, flushing"
 Nexium, Capsule, Proton pump inhibitor, Acid reflux treatment," gastroesophageal reflux disease (GERD), erosive esophagitis, heartburn, stomach ulcers"," headache, diarrhea, nausea, abdominal pain, vitamin B12 deficiency"
 Ambien, Tablet, Sedative, Sleep aid," insomnia, difficulty falling asleep, sleep maintenance"," daytime drowsiness, dizziness, headache, complex sleep behaviors, memory problems"
 Synthroid, Tablet, Thyroid hormone, Thyroid hormone replacement," hypothyroidism, thyroid cancer, goiter, thyroiditis"," weight loss, tremors, headache, insomnia, increased appetite"
 Crestor, Tablet, Statin, Cholesterol management," high cholesterol, triglycerides, atherosclerosis prevention"," muscle pain, weakness, headache, nausea, liver enzyme elevation"
 Lyrica, Capsule, Anticonvulsant, Nerve pain treatment," diabetic neuropathy, fibromyalgia, post-herpetic neuralgia, partial onset seizures"," dizziness, drowsiness, weight gain, blurred vision, dry mouth"
 Tamiflu, Capsule, Antiviral, Influenza treatment, influenza A and B treatment and prevention," nausea, vomiting, headache, psychiatric effects (rare)"
 Tamiflu, Syrup, Antiviral, Influenza treatment, influenza A and B treatment and prevention," nausea, vomiting, headache, psychiatric effects (rare)"
 Abilify, Tablet, Atypical antipsychotic, Mental health treatment," schizophrenia, bipolar disorder, major depressive disorder, autism"," weight gain, akathisia, tremor, headache, insomnia"
 Abilify, Solution, Atypical antipsychotic, Mental health treatment," schizophrenia, bipolar disorder, major depressive disorder, autism"," weight gain, akathisia, tremor, headache, insomnia"
 Humira, Injection, Biologic, Autoimmune disease treatment," rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, Crohn's disease, ulcerative colitis"," injection site reactions, increased infection risk, headache, rash, sinusitis"
 Ozempic, Injection, GLP-1 receptor agonist, Diabetes management," type 2 diabetes, weight management, cardiovascular risk reduction"," nausea, vomiting, diarrhea, constipation, abdominal pain"
 Jardiance, Tablet, SGLT2 inhibitor, Diabetes management," type 2 diabetes, heart failure, chronic kidney disease"," urinary tract infections, genital mycotic infections, increased urination"
 Eliquis, Tablet, Anticoagulant, Blood clot prevention," prevention of stroke in atrial fibrillation, treatment of DVT and PE"," bleeding, bruising, nausea, anemia"
 Entresto, Tablet, ARNi, Heart failure treatment," heart failure with reduced ejection fraction, hypertension"," hypotension, hyperkalemia, cough, dizziness, renal impairment"
 Januvia, Tablet, DPP-4 inhibitor, Diabetes management," type 2 diabetes, glycemic control"," upper respiratory tract infection, headache, hypoglycemia"
 Stelara, Injection, Biologic, Autoimmune disease treatment," psoriasis, psoriatic arthritis, Crohn's disease, ulcerative colitis"," nasopharyngitis, headache, fatigue, injection site reactions, increased infection risk"
 Trulicity, Injection, GLP-1 receptor agonist, Diabetes management," type 2 diabetes, cardiovascular risk reduction"," nausea, diarrhea, vomiting, abdominal pain, decreased appetite"
 Rituxan, Injection, Monoclonal antibody, Cancer and autoimmune treatment," non-Hodgkin's lymphoma, chronic lymphocytic leukemia, rheumatoid arthritis"," infusion reactions, infections, cardiac events, kidney problems"
 Imbruvica, Capsule, Kinase inhibitor, Cancer treatment," chronic lymphocytic leukemia, mantle cell lymphoma, Waldenström's macroglobulinemia"," diarrhea, fatigue, musculoskeletal pain, bruising, rash"
 Eylea, Injection, VEGF inhibitor, Eye disease treatment," age-related macular degeneration, diabetic macular edema, diabetic retinopathy"," eye pain, vitreous floaters, cataract, retinal detachment, increased intraocular pressure"
 Seroquel, Tablet, Atypical antipsychotic, Mental health treatment," schizophrenia, bipolar disorder, major depressive disorder"," sedation, dizziness, dry mouth, weight gain, elevated blood sugar"
 Latuda, Tablet, Atypical antipsychotic, Mental health treatment," schizophrenia, bipolar depression"," nausea, akathisia, somnolence, parkinsonism, anxiety"
 Trintellix, Tablet, Atypical antidepressant, Depression treatment," major depressive disorder, treatment-resistant depression"," nausea, constipation, vomiting, dizziness, sexual dysfunction"
 Cosentyx, Injection, IL-17A inhibitor, Autoimmune disease treatment," plaque psoriasis, psoriatic arthritis, ankylosing spondylitis, non-radiographic axial spondyloarthritis"," upper respiratory infections, headache, diarrhea, increased risk of infections"
 Dupixent, Injection, IL-4/IL-13 inhibitor, Inflammatory disease treatment," atopic dermatitis, asthma, chronic rhinosinusitis with nasal polyps"," injection site reactions, conjunctivitis, oral herpes, keratitis"
 Keytruda, Injection, Immunotherapy, Cancer treatment," melanoma, non-small cell lung cancer, head and neck cancer, Hodgkin lymphoma"," fatigue, pruritus, rash, diarrhea, immune-mediated adverse reactions"
Lisinopril,Tablet,ACE Inhibitor,Hypertension,"hypertension, heart failure, post-myocardial infarction","dry cough, dizziness, headache, fatigue, hypotension"
Atorvastatin,Tablet,Statin,Cholesterol,"hypercholesterolemia, prevention of cardiovascular disease","muscle pain, liver enzyme elevations, digestive issues, headache"
Metformin,Tablet,Biguanide,Diabetes,"type 2 diabetes, insulin resistance, polycystic ovary syndrome","nausea, diarrhea, abdominal discomfort, vitamin B12 deficiency, lactic acidosis"
Sertraline,Tablet,SSRI,Depression,"major depressive disorder, panic disorder, social anxiety disorder, obsessive-compulsive disorder","nausea, insomnia, sexual dysfunction, diarrhea, dry mouth"
Ibuprofen,Tablet,NSAID,Pain,"pain, inflammation, fever, menstrual cramps, rheumatoid arthritis","gastrointestinal irritation, heartburn, dizziness, fluid retention"
Omeprazole,Capsule,Proton Pump Inhibitor,Acid reflux,"gastroesophageal reflux disease, peptic ulcers, erosive esophagitis","headache, abdominal pain, diarrhea, vitamin B12 deficiency"
Levothyroxine,Tablet,Thyroid Hormone,Hypothyroidism,"hypothyroidism, myxedema coma, thyroid cancer","weight changes, anxiety, insomnia, heart palpitations, tremors"
Amlodipine,Tablet,Calcium Channel Blocker,Hypertension,"hypertension, angina, coronary artery disease","peripheral edema, flushing, headache, dizziness, fatigue"
Albuterol,Inhaler,Beta-2 Agonist,Asthma,"asthma, chronic obstructive pulmonary disease, exercise-induced bronchospasm","tremors, nervousness, headache, throat irritation, tachycardia"
Simvastatin,Tablet,Statin,Cholesterol,"hypercholesterolemia, cardiovascular disease prevention","muscle pain, liver enzyme elevations, digestive issues, headache"
Metoprolol,Tablet,Beta Blocker,Hypertension,"hypertension, angina, heart failure, post-myocardial infarction","fatigue, dizziness, bradycardia, cold extremities, sleep disturbances"
Fluoxetine,Capsule,SSRI,Depression,"major depressive disorder, obsessive-compulsive disorder, bulimia nervosa, panic disorder","nausea, insomnia, sexual dysfunction, anxiety, headache"
Losartan,Tablet,ARB,Hypertension,"hypertension, diabetic nephropathy, heart failure","dizziness, headache, upper respiratory infection, back pain"
Azithromycin,Tablet,Antibiotic,Bacterial infections,"respiratory tract infections, skin infections, sexually transmitted infections","diarrhea, nausea, abdominal pain, headache, QT prolongation"
Hydrochlorothiazide,Tablet,Diuretic,Hypertension,"hypertension, edema, heart failure, kidney stones","electrolyte imbalances, frequent urination, dizziness, photosensitivity"
Gabapentin,Capsule,Anticonvulsant,Seizures,"epilepsy, neuropathic pain, restless leg syndrome, hot flashes","drowsiness, dizziness, peripheral edema, fatigue, ataxia"
Warfarin,Tablet,Anticoagulant,Blood clots,"atrial fibrillation, deep vein thrombosis, pulmonary embolism, prosthetic heart valves","bleeding, bruising, hematoma, purple toe syndrome"
Pantoprazole,Tablet,Proton Pump Inhibitor,Acid reflux,"gastroesophageal reflux disease, peptic ulcers, erosive esophagitis","headache, diarrhea, abdominal pain, nausea, dizziness"
Prednisone,Tablet,Corticosteroid,Inflammation,"asthma, allergic reactions, rheumatoid arthritis, inflammatory bowel disease","weight gain, mood changes, insomnia, increased appetite, fluid retention"
Furosemide,Tablet,Loop Diuretic,Edema,"edema, heart failure, hypertension, cirrhosis","electrolyte imbalances, dehydration, gout, dizziness, ototoxicity"
Citalopram,Tablet,SSRI,Depression,"major depressive disorder, anxiety disorders, panic disorder","nausea, drowsiness, dry mouth, sexual dysfunction, increased sweating"
Montelukast,Tablet,Leukotriene Modifier,Asthma,"asthma, seasonal allergies, exercise-induced bronchospasm","headache, upper respiratory infection, behavior changes, neuropsychiatric events"
Venlafaxine,Capsule,SNRI,Depression,"major depressive disorder, generalized anxiety disorder, social anxiety disorder","nausea, dizziness, sweating, insomnia, increased blood pressure"
Rosuvastatin,Tablet,Statin,Cholesterol,"hypercholesterolemia, cardiovascular disease prevention","muscle pain, liver enzyme elevations, headache, nausea"
Tramadol,Tablet,Opioid,Pain,"moderate to severe pain, chronic pain","dizziness, constipation, nausea, headache, seizures"
Escitalopram,Tablet,SSRI,Depression,"major depressive disorder, generalized anxiety disorder, social anxiety disorder","nausea, insomnia, sexual dysfunction, dizziness, fatigue"
Ciprofloxacin,Tablet,Fluoroquinolone,Bacterial infections,"urinary tract infections, respiratory tract infections, skin infections, gastrointestinal infections","tendon damage, peripheral neuropathy, dizziness, nausea, headache"
Duloxetine,Capsule,SNRI,Depression,"major depressive disorder, generalized anxiety disorder, diabetic neuropathy, fibromyalgia","nausea, dry mouth, constipation, decreased appetite, increased sweating"
Lorazepam,Tablet,Benzodiazepine,Anxiety,"anxiety disorders, insomnia, status epilepticus, alcohol withdrawal","sedation, dizziness, weakness, dependence, memory impairment"
Carvedilol,Tablet,Alpha/Beta Blocker,Heart failure,"heart failure, hypertension, left ventricular dysfunction","dizziness, fatigue, hypotension, weight gain, bradycardia"
Clonazepam,Tablet,Benzodiazepine,Seizures,"epilepsy, panic disorder, anxiety, restless leg syndrome","drowsiness, dizziness, cognitive impairment, dependence, depression"
Cetirizine,Tablet,Antihistamine,Allergies,"allergic rhinitis, chronic urticaria, hay fever","drowsiness, dry mouth, fatigue, headache, dizziness"
Levofloxacin,Tablet,Fluoroquinolone,Bacterial infections,"respiratory tract infections, urinary tract infections, skin infections, pneumonia","tendon damage, peripheral neuropathy, dizziness, headache, nausea"
Atenolol,Tablet,Beta Blocker,Hypertension,"hypertension, angina, post-myocardial infarction","fatigue, bradycardia, cold extremities, dizziness, depression"
Famotidine,Tablet,H2 Blocker,Acid reflux,"gastroesophageal reflux disease, peptic ulcers, heartburn","headache, constipation, diarrhea, dizziness, confusion"
Bupropion,Tablet,Atypical Antidepressant,Depression,"major depressive disorder, seasonal affective disorder, smoking cessation","insomnia, dry mouth, headache, nausea, seizures"
Clopidogrel,Tablet,Antiplatelet,Blood clots,"acute coronary syndrome, peripheral arterial disease, stroke prevention","bleeding, bruising, headache, dizziness, rash"
Loratadine,Tablet,Antihistamine,Allergies,"allergic rhinitis, chronic urticaria, hay fever","headache, fatigue, dry mouth, nervousness, stomach pain"
Pregabalin,Capsule,Anticonvulsant,Neuropathic pain,"diabetic neuropathy, fibromyalgia, partial seizures, postherpetic neuralgia","dizziness, drowsiness, weight gain, peripheral edema, blurred vision"
Tadalafil,Tablet,PDE5 Inhibitor,Erectile dysfunction,"erectile dysfunction, benign prostatic hyperplasia, pulmonary arterial hypertension","headache, flushing, dyspepsia, nasal congestion, back pain"
Pravastatin,Tablet,Statin,Cholesterol,"hypercholesterolemia, cardiovascular disease prevention","muscle pain, liver enzyme elevations, headache, nausea"
Valacyclovir,Tablet,Antiviral,Viral infections,"herpes simplex, herpes zoster, chickenpox","headache, nausea, abdominal pain, dizziness, vomiting"
Metronidazole,Tablet,Antibiotic,Bacterial infections,"anaerobic bacterial infections, protozoal infections, Clostridium difficile infection","metallic taste, nausea, headache, peripheral neuropathy, disulfiram-like reaction"
Diazepam,Tablet,Benzodiazepine,Anxiety,"anxiety disorders, alcohol withdrawal, muscle spasms, seizures","drowsiness, fatigue, ataxia, dependence, anterograde amnesia"
Propranolol,Tablet,Beta Blocker,Hypertension,"hypertension, angina, migraine prevention, essential tremor","fatigue, bradycardia, cold extremities, sleep disturbances, bronchospasm"
Ondansetron,Tablet,Antiemetic,Nausea,"chemotherapy-induced nausea and vomiting, postoperative nausea and vomiting","headache, constipation, dizziness, fatigue, QT prolongation"
Celecoxib,Capsule,NSAID,Pain,"osteoarthritis, rheumatoid arthritis, acute pain, ankylosing spondylitis","gastrointestinal bleeding, cardiovascular events, kidney injury, headache"
Cyclobenzaprine,Tablet,Muscle Relaxant,Muscle spasms,"muscle spasms, acute musculoskeletal pain","drowsiness, dry mouth, dizziness, fatigue, constipation"
